Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
35,32668,499,Self-Employed,Bachelor,12,32967,72,Divorced,4,Mortgage,416,0.6491397865192071,3,2,0.1995849665215435,0,Debt Consolidation,0,27,3,2191,5203,12541,10161,2722.333333333333,0.797402036125437,5,2380,0.298467,0.3150596002637171,1024.0091701469166,0.5289613702021244,0,59.0
43,98119,514,Employed,High School,18,40310,84,Divorced,1,Mortgage,257,0.1806018943431338,3,2,0.526621536668477,0,Home,0,26,15,1170,2357,50134,50595,8176.583333333333,0.8882238804296827,5,6780,0.30831,0.3240824335666739,1218.5709572368723,0.1804630243565718,0,56.0
36,15000,507,Self-Employed,High School,13,17452,84,Married,0,Rent,630,0.3806579723217358,4,2,0.3157469758494953,0,Debt Consolidation,0,32,24,1077,5817,77359,5723,1250.0,0.9396178109050533,6,71636,0.288952,0.2553371333463259,447.7114334340505,0.8621691467472403,0,57.0
35,70027,556,Employed,Bachelor,12,20786,24,Single,5,Other,303,0.637641864270019,3,1,0.3825989899089788,0,Auto,0,32,27,3747,1367,101975,229349,5835.583333333333,0.7770259419990138,5,10861,0.2177859999999999,0.2069502718581681,1064.9910546721292,0.2344223321870928,1,44.8
32,49608,602,Employed,Doctorate,9,27385,36,Married,0,Rent,290,0.2977852715221667,3,0,0.1127630665666707,0,Education,0,33,17,3529,488,12049,16143,4134.0,0.7290939831190113,5,5568,0.211385,0.1932116337689431,1008.2774232266328,0.3140487235671584,0,48.0
39,15986,612,Unemployed,Bachelor,16,22991,36,Widowed,0,Mortgage,518,0.0225949958633026,2,0,0.623333026740858,0,Home,0,29,9,3068,429,44629,3365,1332.1666666666667,0.9263440413762066,4,41264,0.201991,0.1737393021343344,823.9768464891822,1.0073640784355178,0,60.0
40,82552,545,Employed,Bachelor,16,36918,36,Married,1,Mortgage,126,0.4078966516240669,3,0,0.0328779232061533,0,Debt Consolidation,0,23,20,1879,865,14780,17924,6879.333333333333,0.6608546106770056,3,7009,0.249418,0.2745235029452958,1516.158815173311,0.2387090050159866,0,50.0
33,80427,572,Employed,Bachelor,9,24396,60,Divorced,2,Rent,635,0.4511189859607871,5,2,0.1919652680207938,0,Auto,0,34,3,1103,474,31203,78542,6702.25,0.7023005804057362,4,4572,0.243396,0.2206194523125257,674.6504871095073,0.1954046010085429,0,53.0
48,48901,621,Employed,High School,26,26237,24,Married,0,Mortgage,642,0.3697302211099105,3,1,0.3698273515047198,0,Education,0,33,1,9729,492,30508,51847,4075.0833333333335,0.8594196441009615,3,8454,0.190737,0.2083842565753016,1346.1240223021157,0.4878732186995232,0,56.0
47,60346,658,Employed,Associate,26,36965,60,Single,5,Mortgage,247,0.2650158454127276,1,1,0.4270263164638642,0,Home,0,28,27,3261,1216,35380,13262,5028.833333333333,0.721575274376397,6,22118,0.212965,0.2278369401883712,1037.4720316653777,0.2554214758224991,0,50.0
26,17412,509,Employed,Master,1,17769,48,Divorced,0,Own,486,0.3211766613607759,3,2,0.4226665149150263,0,Other,0,19,29,846,1178,22146,86736,1451.0,0.4920276063468711,0,2860,0.258269,0.2681691927766381,607.3181805966055,0.7534928880748487,0,58.0
44,71070,502,Employed,Bachelor,23,18538,48,Divorced,0,Mortgage,218,0.352057287236345,3,3,0.3180499578674743,0,Auto,0,23,20,2540,559,59908,25205,5922.5,0.6891475909064292,2,34703,0.262538,0.2508572146413751,615.5534872928183,0.140743518327196,1,43.2
55,62248,667,Employed,Master,32,37872,36,Single,1,Mortgage,820,0.3853824988887123,3,1,0.607018619344054,0,Education,0,23,26,373,383,20082,101102,5187.333333333333,0.6746928566857963,3,9527,0.189372,0.2006979346155717,1408.8063808381137,0.4296632272532028,0,52.0
69,62257,674,Employed,Bachelor,45,10018,48,Widowed,2,Mortgage,507,0.3463184883732847,2,0,0.2894713331195223,0,Debt Consolidation,1,30,26,4818,2724,210007,30542,5188.083333333333,0.8913193337151156,5,179465,0.168018,0.1504624949109247,279.04335655596515,0.1515093929786463,1,38.400000000000006
27,28941,612,Employed,Associate,3,15007,60,Single,0,Mortgage,112,0.126320772975842,1,1,0.5284547949288323,0,Education,0,23,8,1934,2041,133058,88914,2411.75,0.720013118653687,6,44144,0.214007,0.1881368566838582,387.7529908928042,0.2072159182721278,0,57.0
43,34599,591,Employed,High School,22,14851,72,Married,3,Rent,112,0.0527707227266305,3,1,0.0412400366695618,0,Home,0,33,6,247,1548,144549,10823,2883.25,0.5479816434111293,4,133726,0.234351,0.2508356179339517,400.8058432481448,0.1778568779149032,0,48.0
33,33290,583,Employed,Bachelor,6,34370,48,Married,0,Mortgage,398,0.1587344107790251,1,1,0.3182704706101711,0,Home,0,22,14,820,297,54081,7698,2774.1666666666665,0.6496122284275999,4,46383,0.23787,0.2316334395256758,1104.6872574199592,0.5416715857326377,0,54.0
41,19291,607,Employed,Bachelor,19,35600,60,Married,0,Mortgage,504,0.5125631417807563,2,0,0.0347937867402181,0,Home,1,27,29,5564,4141,37522,4972,1607.5833333333333,0.8491600959870023,6,32550,0.2370999999999999,0.2573614215961708,1060.3267970184445,0.9730921965798214,0,56.0
44,170747,623,Employed,Master,19,20811,48,Single,0,Own,877,0.2894384178981209,4,3,0.176111734959081,0,Debt Consolidation,0,23,19,1687,3545,118338,39430,14228.916666666666,0.678566901023045,5,78908,0.204311,0.1634488,593.471921462549,0.1033439126751895,1,34.4
59,83330,513,Employed,High School,36,47651,60,Married,5,Rent,305,0.2218769067787053,3,0,0.145311010476212,0,Other,0,36,8,2312,3469,78405,46670,6944.166666666667,0.6452551943171412,10,31735,0.296151,0.3118098986625788,1576.4163001301283,0.2709347846101229,0,50.0
43,167807,595,Employed,High School,17,15159,36,Married,1,Other,375,0.6598245263660617,1,4,0.2784791258340798,0,Other,0,21,22,6034,565,21393,15907,13983.916666666666,0.7081521550844041,8,5486,0.202659,0.1943246095155137,558.9887166286321,0.0667902089873699,1,41.6
47,28431,593,Employed,High School,23,29146,60,Married,1,Mortgage,351,0.4369596268357065,6,0,0.3754059778761429,0,Debt Consolidation,1,24,20,498,618,75250,17652,2369.25,0.839344177920446,3,57598,0.237646,0.2129006254614564,793.2603497511095,0.4829631105839863,0,61.0
32,51847,500,Employed,Master,12,8095,24,Married,2,Own,534,0.2520861943910529,1,0,0.2896418682242259,0,Education,0,24,9,13260,2483,41687,38620,4320.583333333333,0.9306462377421224,11,3067,0.2330949999999999,0.2064362974525052,414.5512532933005,0.2195424043728587,1,42.400000000000006
37,44000,539,Employed,High School,13,28714,60,Married,3,Rent,457,0.4141824374841434,3,1,0.1999940926692494,0,Home,0,10,29,5872,2939,331208,29418,3666.6666666666665,0.946449956266186,8,301790,0.264214,0.2441737483948041,833.0142733198009,0.3518220745417639,0,46.0
19,43092,560,Employed,Master,0,22269,48,Married,1,Mortgage,341,0.3524182370424564,2,2,0.2290521461984763,0,Home,0,31,28,2147,786,49637,4850,3591.0,0.9910405494148836,5,44787,0.237269,0.2847228,782.1522038389049,0.3127686449008368,0,53.0
46,239359,651,Employed,Master,21,40546,96,Married,1,Own,1427,0.1836330772610341,3,2,0.3194311549944849,0,Auto,0,28,7,5552,1666,73152,45160,19946.58333333333,0.7943733167879705,4,27992,0.250046,0.2793494708304732,1060.284567009877,0.1246972739864326,1,36.8
44,19918,544,Employed,Master,20,29937,60,Single,0,Mortgage,704,0.4727714576651221,5,1,0.1084483261112173,0,Auto,0,21,24,1076,1722,105369,47982,1659.8333333333333,0.9846917838795785,3,57387,0.262937,0.2776400503163808,927.8555062696388,0.9831441949611238,0,51.0
27,23527,516,Employed,Bachelor,8,10466,84,Married,0,Other,385,0.0676001415572554,3,0,0.2603258676466894,0,Debt Consolidation,1,22,17,2235,6666,89972,23154,1960.5833333333333,0.8035883048507932,4,66818,0.277466,0.2480037514034855,263.5772292400091,0.3308082947626178,0,57.0
39,35838,517,Employed,High School,14,28387,24,Married,5,Mortgage,671,0.5939445760476365,4,0,0.4441780881362069,0,Home,1,31,17,3619,594,40846,12062,2986.5,0.7399513980586251,5,28784,0.244887,0.2000064521502596,1444.7880972098242,0.7084507273429849,0,64.0
35,40141,569,Employed,Bachelor,17,21959,36,Single,1,Mortgage,649,0.116872736786801,0,1,0.1645057461856696,0,Education,0,26,11,5582,8155,18810,6209,3345.083333333333,0.5621678146902123,9,12601,0.222459,0.2286082007804313,848.4346695192071,0.447652426053922,0,50.0
47,73548,559,Employed,Bachelor,26,17494,48,Single,2,Rent,152,0.3995002048376572,3,2,0.2747596162736829,0,Home,0,23,18,2121,770,58355,4328,6129.0,0.908064230016399,5,54027,0.232994,0.2486799834756728,578.7635856097087,0.1192304757072456,1,40.0
63,50114,614,Employed,High School,43,3674,36,Single,0,Rent,438,0.2574707105075983,3,1,0.5016111854534157,0,Education,0,22,18,7304,4088,73381,9410,4176.166666666667,0.904772676205518,1,63971,0.181674,0.1598721216991189,129.14374521659045,0.1358048637626029,1,42.400000000000006
43,47762,564,Employed,Master,21,10840,48,Married,0,Mortgage,690,0.1055401890273059,1,0,0.0761525529519029,0,Auto,0,20,16,532,971,21289,11331,3980.1666666666665,0.9420041774371728,5,9958,0.2238399999999999,0.2086971640717263,334.9089864703266,0.2575040374700373,1,40.0
38,34144,502,Employed,Associate,16,32986,12,Married,4,Own,393,0.2699765111863423,3,0,0.659422185777478,0,Other,0,22,20,5616,9167,98462,47996,2845.333333333333,0.963319611146796,2,50466,0.2469859999999999,0.209340300276288,3070.4066529083952,1.2172235190634004,0,57.0
54,55980,552,Self-Employed,High School,31,26274,60,Married,1,Rent,396,0.0347366032898075,4,1,0.3774608453936159,0,Home,0,16,17,425,807,196641,76296,4665.0,0.9032626046829244,6,120345,0.255274,0.2651808851583197,794.7346441489976,0.255248583954769,0,52.0
45,109499,590,Unemployed,Bachelor,26,15490,120,Single,1,Mortgage,987,0.1206645569719178,2,0,0.2982023266123795,0,Home,1,28,17,2363,1138,40660,17975,9124.916666666666,0.7824503086939134,2,22685,0.27549,0.2540214166647709,356.78769192965507,0.1472657494877201,0,59.0
62,35967,587,Self-Employed,Bachelor,39,24481,60,Married,1,Other,607,0.2854588568546296,3,4,0.7809610547284462,0,Debt Consolidation,0,31,18,5033,21823,26856,53213,2997.25,0.7675734774777393,9,6001,0.235981,0.2404615501153132,704.9245737051043,0.437709424874503,0,62.0
21,69356,589,Self-Employed,Master,0,18957,72,Widowed,1,Mortgage,530,0.3392535184817753,3,0,0.4834832689131746,0,Education,0,11,16,1945,769,9667,61996,5779.666666666667,0.9313762919629602,1,2166,0.239457,0.2175211856921156,473.5307313060402,0.1736312471260234,0,59.0
44,83169,606,Employed,Bachelor,19,11445,120,Divorced,4,Rent,534,0.3256280727045811,4,2,0.3720103250573225,0,Debt Consolidation,0,35,10,3458,989,104949,8850,6930.75,0.7138051450794539,9,96099,0.263445,0.2662938480307828,273.6249989244123,0.1165277926522255,0,48.0
56,38736,560,Employed,Associate,36,34831,48,Married,0,Mortgage,404,0.0829360647174203,4,1,0.2136160894356301,0,Debt Consolidation,0,25,26,6358,405,48010,7959,3228.0,0.7379096123203507,5,40051,0.249831,0.2380177183573226,1131.740865175338,0.4757561540196214,0,52.0
37,52587,527,Employed,Bachelor,11,15855,24,Single,2,Other,455,0.1868523022452847,4,0,0.2087900392407414,0,Home,0,25,16,4113,1208,93599,36055,4382.25,0.77175479345967,4,57544,0.227355,0.2427417552961704,840.4424659335018,0.2956112649742716,0,49.0
46,20836,602,Employed,Bachelor,24,41120,60,Single,1,Rent,548,0.4216593349119587,5,0,0.3640252511979214,0,Auto,0,22,11,8054,3301,16372,24559,1736.3333333333333,0.6693649772812827,6,2874,0.24512,0.2347260413112037,1170.3846685794867,0.9896628922515762,0,54.0
19,170787,604,Employed,Master,0,11486,60,Divorced,1,Other,371,0.2900695783183512,1,0,0.5200881216678162,0,Home,0,20,22,2623,1431,23470,35682,14232.25,0.8692739979005621,5,10775,0.214486,0.2031267467470148,306.3104937867879,0.0475898395395519,1,42.400000000000006
38,19693,560,Employed,High School,15,12824,48,Married,1,Mortgage,750,0.3776431177806739,3,0,0.0908239169108644,0,Debt Consolidation,0,27,24,2200,215,33363,66391,1641.0833333333333,0.696227881867813,9,6604,0.227824,0.2262375385019268,408.3890494077112,0.7058685112929739,0,52.0
61,87678,630,Employed,Master,37,14104,24,Married,4,Rent,317,0.0818986719607504,3,2,0.1818163807536811,0,Debt Consolidation,0,19,16,9646,3497,293045,3331,7306.5,0.9104692940725012,3,289714,0.174104,0.2017484469039061,719.0396647795332,0.1417969841619836,1,31.200000000000003
26,35682,592,Employed,High School,8,25749,96,Single,1,Rent,356,0.1295312145776724,2,0,0.4487800152961325,0,Auto,0,33,11,2001,6380,14925,12810,2973.5,0.5415986605902138,5,2115,0.264749,0.2883229431598539,689.2132820452391,0.35150942728947,0,56.0
55,148791,610,Unemployed,Associate,31,19725,36,Single,1,Mortgage,401,0.3512852509489296,2,3,0.2889315685120067,0,Home,0,22,21,3620,573,63867,15789,12399.25,0.7208039087340278,10,48078,0.1997249999999999,0.2075516852613744,740.6634639000433,0.0920752032502,1,40.0
48,65151,597,Employed,Associate,25,11908,84,Married,4,Mortgage,205,0.0840451125104461,3,2,0.5015897910035101,0,Debt Consolidation,0,29,23,182,1269,10049,126505,5429.25,0.7688790225197094,2,10768,0.238408,0.2500192743018995,301.42563512300853,0.0932772731266765,0,57.0
43,82764,496,Employed,High School,21,21768,24,Married,4,Own,162,0.3838789254483237,1,0,0.2238638075414309,0,Auto,0,25,2,1501,1622,98456,13486,6897.0,0.7570556216737362,4,84970,0.248768,0.2787216349010367,1193.3952767357916,0.1965195413565016,0,53.0
32,53644,524,Employed,Bachelor,7,7170,96,Married,1,Rent,262,0.0582521801793313,2,2,0.2184969716978903,0,Auto,0,24,6,2365,773,102685,5168,4470.333333333333,0.9719484238856464,4,97517,0.28017,0.2779318581120985,186.80195951837143,0.100395636310127,0,51.0
23,15599,531,Employed,High School,0,24504,48,Single,4,Own,420,0.3846354170928907,5,2,0.4938846509489531,0,Auto,0,25,12,2636,502,33468,47460,1299.9166666666667,0.8130686442083248,4,3226,0.254004,0.2508811316577077,813.6869710623313,0.9490508143309172,0,58.0
18,143933,582,Unemployed,High School,0,26569,84,Married,1,Rent,368,0.0750651982109077,1,0,0.6014036684627158,0,Education,0,19,18,1254,1523,48968,4229,11994.416666666666,0.9791016002157008,4,44739,0.260569,0.213841502597608,612.338001406208,0.0817328619348898,1,46.400000000000006
49,79592,583,Self-Employed,Bachelor,25,17337,60,Married,3,Mortgage,290,0.1635140381464005,3,1,0.47058030912631,1,Other,0,27,29,1256,1395,390370,36001,6632.666666666667,0.729069826894548,6,354369,0.230837,0.2323905541931926,491.1223136005481,0.1177689687808646,1,51.2
34,33547,603,Employed,High School,11,11314,36,Single,3,Own,499,0.4576636917667567,4,3,0.1532671910384924,0,Debt Consolidation,0,26,1,3746,3877,539657,6904,2795.583333333333,0.7677926613363693,9,532753,0.194814,0.1702904221345571,403.538509011373,0.3228444304449421,1,36.0
51,58669,585,Employed,High School,28,13735,48,Married,3,Rent,455,0.4545961930526719,1,2,0.4731905555161005,0,Auto,0,21,4,10005,619,124110,128344,4889.083333333333,0.6877948337051478,5,6397,0.216235,0.2394784871208136,447.39030848266407,0.1845724948744987,0,60.0
48,15000,591,Employed,Associate,25,39526,84,Married,0,Mortgage,245,0.3912651012643987,2,0,0.1778807572170276,0,Auto,0,25,10,7147,1335,83703,71713,1250.0,0.9264231660381328,7,11990,0.269026,0.2664496338696675,1042.4104442656546,1.0299283554125238,0,52.0
37,19863,532,Employed,High School,15,36240,84,Single,2,Own,831,0.2622450168497016,5,0,0.1122669351605733,0,Education,0,26,11,7350,436,32352,12081,1655.25,0.8596405144899885,5,20271,0.29524,0.3213457434161341,1088.7304165733233,1.159782761862754,0,52.0
32,26568,531,Unemployed,Master,7,26152,36,Single,2,Rent,317,0.4061794430115589,3,1,0.1630611469714088,1,Debt Consolidation,0,24,9,3827,1973,224592,8141,2214.0,0.8215198304315499,4,216451,0.245652,0.2168545628517029,994.5062247186804,0.5923695685269558,0,65.0
20,15000,493,Employed,High School,0,24408,48,Single,0,Own,256,0.1195960379384496,2,0,0.1839936757081281,0,Auto,1,19,21,557,476,26054,60151,1250.0,0.6710656724907819,3,2010,0.272908,0.3156298532091514,901.1606182761676,0.9257284946209342,0,57.0
37,43517,569,Employed,High School,12,11661,84,Married,2,Rent,208,0.6785653028601307,6,1,0.1927983991440958,0,Debt Consolidation,0,18,5,11919,2659,111478,34052,3626.4166666666665,0.7097627328858523,3,77426,0.252161,0.2421427573420277,289.3263480171996,0.1371398804192935,0,53.0
38,100515,568,Employed,Bachelor,17,17318,24,Married,5,Own,274,0.3317093644766548,3,2,0.3675620295575548,0,Auto,0,25,8,420,204,35328,11084,8376.25,0.9336969029644712,8,24244,0.2083179999999999,0.2156299422548841,894.692933244806,0.1395246002978428,1,43.2
73,134051,588,Employed,Associate,49,14887,12,Divorced,0,Mortgage,346,0.0848552087479075,3,1,0.1554923653619306,1,Home,0,15,5,2589,1744,250807,37271,11170.916666666666,0.8595191270988145,5,213536,0.185887,0.171548320667383,1358.859256286257,0.1526158781018797,1,45.6
51,23797,557,Employed,High School,33,26717,48,Married,1,Rent,148,0.2394839792899879,3,1,0.2505584423213244,1,Auto,0,21,20,1658,352,11129,6820,1983.0833333333333,0.8370558548964957,2,4309,0.243217,0.2918603999999999,949.3653782720676,0.5533632197026856,0,66.0
18,25777,462,Employed,Associate,0,40405,36,Divorced,4,Mortgage,506,0.1369220476998437,3,0,0.1165837856131374,0,Education,0,24,22,6937,3202,74916,13847,2148.083333333333,0.8761062959344688,5,61069,0.294405,0.2500741977496433,1606.65432815228,0.9835066896003164,0,49.0
51,201487,650,Employed,Bachelor,31,12391,120,Single,0,Mortgage,1258,0.4142391178304894,2,0,0.0396836077291696,0,Auto,0,21,13,2840,604,176668,5480,16790.583333333332,0.7581789558163826,6,171188,0.242391,0.2477931566891614,279.9609070809574,0.0915966334551186,1,31.200000000000003
45,59734,599,Employed,Associate,22,47715,60,Divorced,1,Mortgage,170,0.3942723040222882,4,0,0.7528297615411317,0,Home,0,25,13,6095,3602,64339,52012,4977.833333333333,0.7852927724846329,3,12327,0.253215,0.2680127140898967,1451.3309806921736,0.3257101779272455,0,58.0
38,22716,524,Employed,Associate,14,9658,24,Married,0,Own,645,0.0378067255136372,4,2,0.5125931434356219,0,Debt Consolidation,0,32,11,4319,656,47059,38955,1893.0,0.6223187310688811,10,8104,0.222658,0.2184931708469078,500.32084101492416,0.6050294986872288,0,59.0
33,92393,625,Employed,Master,12,30592,84,Widowed,0,Mortgage,1024,0.0741543276930591,5,1,0.2117854381955954,0,Home,0,26,18,2543,880,26493,30418,7699.416666666667,0.9144814829826604,1,1431,0.243092,0.2666572618030468,807.2094095407783,0.2378374218229664,0,47.0
46,25933,600,Employed,High School,27,15006,48,Divorced,0,Own,411,0.254812408968284,2,1,0.4280237073062159,0,Auto,0,18,1,40269,2140,42409,50114,2161.083333333333,0.8873371341333998,7,4942,0.210006,0.1746049317109007,436.5820989513936,0.3922024134275526,0,59.0
42,42713,660,Employed,Master,19,14426,84,Single,1,Mortgage,424,0.1124926860976698,5,0,0.2915893468646631,0,Home,0,22,3,1206,744,63496,42060,3559.4166666666665,0.9381695583233308,10,21436,0.209426,0.1738522304049593,298.02735889569203,0.202849912362707,0,49.0
19,68337,567,Employed,Master,0,31919,24,Single,3,Other,382,0.3455329721306998,0,0,0.4056261727754072,0,Home,0,27,7,3655,107,17131,65376,5694.75,0.691140623788069,4,4129,0.2234189999999999,0.1970325353788979,1619.9196974945685,0.3515377668018031,0,57.0
31,62181,548,Employed,High School,7,20637,96,Married,1,Own,950,0.2696604317676092,4,3,0.4801514722328302,0,Debt Consolidation,0,24,19,993,842,27598,148389,5181.75,0.8717651746784142,5,5569,0.2816369999999999,0.266536144018449,521.6904427957232,0.284014173357596,0,56.0
21,113239,571,Unemployed,Associate,0,58044,48,Divorced,2,Rent,789,0.3359540438036786,4,1,0.1995636276234336,0,Auto,0,22,27,2915,1368,72954,129493,9436.583333333334,0.8858700872707763,8,6739,0.267544,0.3201190449006434,2158.395625368251,0.3123371586151326,0,52.0
